epoch,dataset,atten_masks,train_acc,train_f1_score,train_recall,train_precision,train_loss,test_acc,test_f1_score,test_recall,test_precision,test_loss,train_num,train_tp,train_fp,train_tn,train_fn,test_num,test_tp,test_fp,test_tn,test_fn,Score
9,8,8,97.176,97.2076,98.3086,96.1311,11099.30619,91.8132,68.0982,75.5102,62.0112,2729.741978,121318,59633,2400,58259,1026,7622,666,408,6332,216,83.6617
33,4,4,99.1378,99.1445,99.9176,98.3832,4089.634101,92.3642,69.4328,74.9433,64.6771,3753.04765,121318,60609,996,59663,50,7622,661,361,6379,221,83.65375
59,3,3,99.4873,99.4899,100,98.985,2271.709229,91.8919,68.2752,75.3968,62.3827,5497.606121,121318,60659,622,60037,0,7622,665,401,6339,217,83.64435
3,3,3,92.7257,92.5833,90.806,94.4317,23237.71935,91.1965,66.6667,76.0771,59.328,1847.137774,121318,55082,3248,57411,5577,7622,671,460,6280,211,83.6368
6,8,8,96.5051,96.5455,97.6755,95.4413,13532.19209,91.5245,67.4067,75.737,60.7273,2197.518245,121318,59249,2830,57829,1410,7622,668,432,6308,214,83.63075
50,1,1,99.4428,99.4456,99.9439,98.9521,2147.77727,92.5348,69.8463,74.7166,65.5721,4304.821095,121318,60625,642,60017,34,7622,659,346,6394,223,83.6257
19,0,0,98.5081,98.5298,99.9868,97.1146,6548.472752,91.6951,67.7863,75.5102,61.4958,3713.653096,121318,60651,1802,58857,8,7622,666,417,6323,216,83.60265
54,2,2,98.8336,98.8461,99.9143,97.8005,5158.987307,90.9997,66.2069,76.1905,58.5366,6279.925044,121318,60607,1363,59296,52,7622,672,476,6264,210,83.5951
3,6,6,89.7179,90.548,98.4998,83.7842,32461.64985,79.7297,49.9514,87.415,34.966,3763.827208,121318,59749,11564,49095,910,7622,771,1434,5306,111,83.57235
57,3,3,99.7313,99.7319,99.9753,99.4898,1240.551636,92.9677,70.9328,74.1497,67.9834,4922.885011,121318,60644,311,60348,15,7622,654,308,6432,228,83.5587
10,8,8,97.7959,97.8381,99.7494,95.9987,9209.096363,90.9079,65.9794,76.1905,58.1818,2965.782008,121318,60507,2522,58137,152,7622,672,483,6257,210,83.5492
11,7,7,97.9236,97.9572,99.5681,96.3977,9201.567862,91.8132,68.0328,75.2834,62.0561,2922.361735,121318,60397,2257,58402,262,7622,664,406,6334,218,83.5483
23,8,8,95.9017,96.0625,99.9868,92.4347,17243.8573,86.2372,57.6162,80.839,44.7583,5285.869558,121318,60651,4964,55695,8,7622,713,880,5860,169,83.5381
12,0,0,98.1973,98.2205,99.4988,96.9745,7697.159015,92.2461,69.0738,74.8299,64.1399,2923.623822,121318,60355,1883,58776,304,7622,660,369,6371,222,83.538
4,8,8,94.2614,94.4737,98.1042,91.1024,20935.8808,87.1425,58.9958,79.932,46.7507,2697.267004,121318,59509,5812,54847,1150,7622,705,803,5937,177,83.53725
5,6,6,94.5021,94.6983,98.2031,91.435,19165.46086,87.3524,59.3249,79.7052,47.2446,2768.143513,121318,59569,5580,55079,1090,7622,703,785,5955,179,83.5288
25,3,3,99.1065,99.1135,99.8928,98.3461,4204.921365,92.4429,69.556,74.6032,65.1485,3459.511341,121318,60594,1019,59640,65,7622,658,352,6388,224,83.52305
39,3,3,99.4411,99.4441,99.9654,98.9281,2553.972603,92.3117,69.2227,74.7166,64.4814,4410.623018,121318,60638,657,60002,21,7622,659,363,6377,223,83.51415
29,7,7,98.6877,98.704,99.9439,97.4945,5715.319067,91.1572,66.501,75.8503,59.2035,4382.044552,121318,60625,1558,59101,34,7622,669,461,6279,213,83.50375
